Type,Trans Date,Post Date,Description,Amount,Kind,Expense
Sale,12/31/16,1/1/17,PAYPAL *DIGIZONE,-2.17,Goods,1
Sale,12/31/16,1/1/17,SQ *COOL TEA BAR  WAVERLY,-8.72,Foods,1
Sale,12/30/16,1/1/17,TARGET        00003202,-29.61,Goods,1
Sale,12/30/16,1/1/17,99 RANCH #1769,-47.59,Groceries,1
Sale,12/30/16,1/1/17,A&amp;A GAS,-23.62,Auto,1
Sale,12/30/16,1/1/17,TARGET        00003202,-2.45,Goods,1
Sale,12/30/16,1/1/17,99 RANCH #1769,-10.08,Groceries,1
Sale,12/30/16,1/1/17,99 RANCH #1769,-2.28,Groceries,1
Sale,12/29/16,1/1/17,DAISO BA07 JPN TOWN UBOC,-18,Goods,1
Sale,12/29/16,12/30/16,SQ *COOL TEA BAR  WAVERLY,-8.18,Foods,1
Sale,12/29/16,12/30/16,CCSF MTA IPS PRKNG METER,-7.75,Auto,1
Sale,12/29/16,12/30/16,NIJIYA MARKET #62,-8.57,Goods,1
Sale,12/29/16,12/30/16,PAYPAL *FINISH LINE,-106.17,Clothing,1
Sale,12/28/16,12/30/16,WALGREENS #6655,-3.75,Goods,1
Sale,12/28/16,12/30/16,WWW.ALCATRAZISLANDTICKET,-32,Travel,1
Return,12/28/16,12/30/16,ALCTRZ CRSES 415-438-8320,142,Travel,0
Sale,12/28/16,12/30/16,COLUMBIA SPORTSWEAR 404,-53.14,Goods,1
Sale,12/28/16,12/30/16,TK NOODLE 7,-16.26,Foods,1
Return,12/28/16,12/29/16,MICROSOFT   *STORE,3.12,Goods,0
Sale,12/27/16,12/28/16,SABELLA  LA TORRE SEA,-30.45,Foods,1
Sale,12/27/16,12/29/16,ALCTRZ CRSES 415-438-8320,-142,Travel,1
Sale,12/27/16,12/28/16,NORDSTROM #0420,-97.67,Goods,1
Sale,12/26/16,12/28/16,SFMTA - POWELL AND MARKET,-14,Travel,1
Sale,12/26/16,12/27/16,A&amp;A GAS,-19.2,Auto,1
Sale,12/26/16,12/27/16,SQ *COOL TEA BAR  WAVERLY,-8.18,Foods,1
Sale,12/26/16,12/27/16,GEICO  *AUTO,-49.17,Auto,1
Sale,12/26/16,12/27/16,CCSF MTA IPS PRKNG METER,-3,Auto,1
Sale,12/26/16,12/27/16,AMAZON MKTPLACE PMTS,-39.98,Goods,1
Sale,12/25/16,12/27/16,WALGREENS #6655,-6.53,Goods,1
Sale,12/24/16,12/26/16,WASHINGTON CAFE INC,-63.51,Foods,1
Sale,12/24/16,12/25/16,CCSF MTA IPS PRKNG METER,-0.25,Auto,1
Sale,12/24/16,12/25/16,CITY OF BERKELEY- IPS,-4,Auto,1
Sale,12/24/16,12/25/16,COMCAST CALIFORNIA,-79.99,Internet,1
Sale,12/24/16,12/25/16,CCSF MTA IPS PRKNG METER,-6.5,Auto,1
Sale,12/23/16,12/25/16,WWW.NEWEGG.COM,-7.53,Goods,1
Sale,12/23/16,12/26/16,KUKJE SUPER MARKET,-16.35,Groceries,1
Sale,12/23/16,12/25/16,TMOBILE*AUTO PAY,-74.67,Phone,1
Sale,12/23/16,12/25/16,MICROSOFT   *STORE,-3.47,Goods,1
Sale,12/23/16,12/25/16,H2O WIRELESS,-36,Phone,1
Return,12/23/16,12/25/16,SKR*AbeBooks.co 3TKZCQ,24.96,Study,0
Sale,12/23/16,12/25/16,MICROSOFT   *STORE,-3.12,Goods,1
Sale,12/23/16,12/25/16,85C BAKERY CAFE USA,-20.7,Foods,1
Sale,12/23/16,12/25/16,KIPLING ECOMMERCE,-32.69,Goods,1
Sale,12/23/16,12/25/16,99 RANCH #1769,-62.39,Groceries,1
Sale,12/22/16,12/25/16,STARBUCKS STORE 06677,-2.45,Coffee,1
Sale,12/22/16,12/23/16,60774 - SFO PARKING IT-A,-12,Auto,1
Sale,12/22/16,12/23/16,BEST BUY      00008730,-277.48,Goods,1
Sale,12/21/16,12/22/16,A&amp;A GAS,-23.95,Auto,1
Return,12/21/16,12/21/16,AMAZON MKTPLACE PMTS,15.12,Goods,0
Sale,12/20/16,12/20/16,APL* ITUNES.COM/BILL,-0.99,Phone,1
